ℓ	2
万	3
効	4
製	5
身	6
艦	7
綱	8
よ	9
ﾁ	10
使	11
湾	12
炙	13
槍	14
聴	15
』	16
欠	17
漱	18
巣	19
薬	20
額	21
熊	22
況	23
湿	24
2	25
県	26
歪	27
磁	28
痘	29
蔽	30
各	31
吸	32
紋	33
祉	34
備	35
膵	36
既	37
趨	38
癆	39
尊	40
粟	41
診	42
肘	43
撤	44
雲	45
る	46
鋸	47
雷	48
ü	49
控	50
君	51
算	52
銘	53
遷	54
已	55
瀑	56
環	57
〔	58
辷	59
芸	60
具	61
努	62
沐	63
旬	64
≒	65
輪	66
浪	67
交	68
漬	69
検	70
貢	71
縦	72
但	73
憩	74
蒿	75
期	76
裏	77
牀	78
全	79
v	80
靱	81
蜘	82
明	83
此	84
恋	85
宗	86
壊	87
隅	88
私	89
北	90
寒	91
撃	92
縄	93
舗	94
菱	95
瞳	96
郵	97
斬	98
籠	99
軽	100
角	101
痕	102
誇	103
®	104
歴	105
護	106
筒	107
杵	108
晴	109
沸	110
刑	111
呂	112
鞘	113
γ	114
代	115
刹	116
後	117
帽	118
建	119
賄	120
ぬ	121
諦	122
歇	123
旋	124
綴	125
炭	126
街	127
乱	128
症	129
姑	130
鉛	131
堅	132
縁	133
肝	134
栗	135
士	136
悲	137
蛋	138
鼡	139
擁	140
或	141
掻	142
ﾆ	143
凹	144
愕	145
塊	146
痴	147
織	148
稀	149
繁	150
英	151
填	152
酷	153
味	154
商	155
壌	156
翻	157
駆	158
黙	159
剃	160
漫	161
柳	162
夫	163
蛎	164
}	165
摂	166
紅	167
栓	168
矮	169
勘	170
極	171
破	172
造	173
衰	174
鉄	175
夢	176
答	177
掲	178
─	179
題	180
鯉	181
呻	182
僻	183
貸	184
鈎	185
裁	186
ﾗ	187
楊	188
渋	189
継	190
茶	191
蛆	192
獎	193
磨	194
際	195
誤	196
綜	197
腰	198
焦	199
E	200
訓	201
隋	202
搭	203
怖	204
袖	205
そ	206
戒	207
輝	208
岳	209
府	210
共	211
丈	212
正	213
氏	214
堤	215
篠	216
弊	217
錘	218
恩	219
滅	220
威	221
授	222
濾	223
帰	224
繋	225
勃	226
燧	227
A	228
椅	229
拙	230
貼	231
杖	232
略	233
預	234
佑	235
豊	236
蒙	237
据	238
窄	239
終	240
采	241
殼	242
彼	243
女	244
容	245
求	246
頓	247
掛	248
迷	249
按	250
号	251
N	252
随	253
竜	254
気	255
普	256
岩	257
腕	258
殺	259
